text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude,followers,total_tweets,location,score
@wayneinec @Veritas1012 @GottaBernNow Maybe. His campaign was dead before South Carolina and he was pretty much las… https://t.co/W2EFkHOkET,FALSE,0,wayneinec,2020-11-24 6:38,TRUE,1.33099E+18,1.33112E+18,47654924,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",succmeousside,0,FALSE,FALSE,NA,NA,1121,11840,"Guantanamo Bay, NY",0
"RT @jacket1962: @natasha_yann @drobwlldiad And then this happens &gt;&gt;
https://t.co/H7AeyvloQp",FALSE,0,NA,2020-11-24 6:38,FALSE,NA,1.33112E+18,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",drobwlldiad,1,TRUE,FALSE,NA,NA,3277,46860,lutruwita/Tasmania,0
RT @ejmaroun: Biden’s won in Michigan so many times he’s legally required to change his name to Ohio State.,FALSE,0,NA,2020-11-24 6:38,FALSE,NA,1.33112E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",jamesakbeach,9072,TRUE,FALSE,NA,NA,901,11917,"Redfern, Sydney",1
"Top story: President-Elect Joe Biden: Official Transition Website https://t.co/MI8LySLBfG, see more https://t.co/uXfcW0B7ku",FALSE,0,NA,2020-11-24 6:38,FALSE,NA,1.33112E+18,NA,"<a href=""https://www.tweetedtimes.com"" rel=""nofollow"">The Tweeted Times</a>",JackTorrance62,0,FALSE,FALSE,NA,NA,268,22497,Cesena (FC),7
"@MrFreed72080562 @bearsaremean @realDonaldTrump 2016 it was 3 million and now 6 Million? <U+0001F602><U+0001F602><U+0001F602> Ok, you are boring me… https://t.co/YW88RwrvIu",FALSE,0,MrFreed72080562,2020-11-24 6:38,TRUE,1.33111E+18,1.33112E+18,1.32772E+18,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",Monet4,0,FALSE,FALSE,NA,NA,1,24,United States,0
"Beltway Insider:  Biden Transition, Trump/GSA, Electoral, COVID Surge, Mossimo, JFK Assassinated https://t.co/qTvOmR4aYw",FALSE,0,NA,2020-11-24 6:38,FALSE,NA,1.33112E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",JanetWa94118686,0,FALSE,FALSE,NA,NA,29,29658,"Beverly Hills, CA",2
RT @StevieVanZandt: Maddow is blowing my mind. Trump is not only leaving the Open Skies treaty he is trashing the planes! Making it impossi…,FALSE,0,NA,2020-11-24 6:38,FALSE,NA,1.33112E+18,NA,"<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>",jimdumont,370,TRUE,FALSE,NA,NA,57,5202,,1
"RT @TomFitton: Biden's ""Chief of Staff"" led Al Gore's then-unprecedented challenge to the election outcome in Florida for 37 days.",FALSE,0,NA,2020-11-24 6:38,FALSE,NA,1.33112E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",TeamSandersDad1,3433,TRUE,FALSE,NA,NA,48,1322,"Lakeville, MN",0
"RT @aroseblush: <U+0001F434>   <U+0001F4AA><U+0001F3FC>  Key government agency says Biden transition can formally begin <U+0001F4AA><U+0001F3FC><U+0001F434>

 https://t.co/JeGYvYOccY",FALSE,0,NA,2020-11-24 6:38,FALSE,NA,1.33112E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",aroseblush,14,TRUE,FALSE,NA,NA,27514,153171,New England,1
"President-Elect Joe Biden: Official Transition Website https://t.co/Zwpn7C0i8s, see more https://t.co/XCIMT32LNQ",FALSE,0,NA,2020-11-24 6:38,FALSE,NA,1.33112E+18,NA,"<a href=""http://tweetedtimes.com"" rel=""nofollow"">TtwTimes Top News</a>",TT_Films,0,FALSE,FALSE,NA,NA,17,6892,,6
RT @BeauCorrell: donald trumps last ditch effort is to legally change his name to joe biden,FALSE,0,NA,2020-11-24 6:38,FALSE,NA,1.33112E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Gezwitsche_r,1,TRUE,FALSE,NA,NA,278,12780,"Winterthur, Schweiz",1
RT @irishrygirl: Joe Biden has a Coronavirus team. Donald Trump’s team has coronavirus. That’s the tweet,FALSE,0,NA,2020-11-24 6:38,FALSE,NA,1.33112E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",99ermikeb,17144,TRUE,FALSE,NA,NA,13288,158529,Nidaveillire,1
"@republikaonline President-Elect Joe Biden: Official Transition Website https://t.co/qocC3MJE7k, see more https://t.co/cVuSYgLzI5",FALSE,0,republikaonline,2020-11-24 6:38,FALSE,NA,1.33112E+18,22126902,"<a href=""https://www.tweetedtimes.com"" rel=""nofollow"">The Tweeted Times</a>",fajreen,0,FALSE,FALSE,NA,NA,501,69642,Indonesia,6
"RT @RBReich: Even after Biden won 306 electoral votes, Trump's harebrained lawsuits got dismissed, and pointless state recounts confirmed t…",FALSE,0,NA,2020-11-24 6:38,FALSE,NA,1.33112E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",stevenjmoneill3,1990,TRUE,FALSE,NA,NA,211,40135,,0
"Being trans doesn't exclude you for being wrong. Minorities are way the fuck worse off with Trump than Biden, they'… https://t.co/RJNBSz96P0",FALSE,0,Th0risy,2020-11-24 6:38,TRUE,1.33112E+18,1.33112E+18,1.26901E+18,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Th0risy,0,FALSE,FALSE,NA,NA,2680,3978,nb / any pronouns,1
RT @Zinnsgh0st: @marwilliamson @PepperOceanna Biden has an opportunity to erase his austerity legacy that has left a generation in great de…,FALSE,0,NA,2020-11-24 6:38,FALSE,NA,1.33112E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",rzn2blv,1,TRUE,FALSE,NA,NA,4143,30428,Left coast,0
"Top story: President-Elect Joe Biden: Official Transition Website https://t.co/oX794VEwbe, see more https://t.co/RZR4M6cwhw",FALSE,0,NA,2020-11-24 6:38,FALSE,NA,1.33112E+18,NA,"<a href=""https://www.tweetedtimes.com"" rel=""nofollow"">The Tweeted Times</a>",ndredman,0,FALSE,FALSE,NA,NA,1291,14949,"Newcastle, Australia",7
RT @ggreenwald: Read @lhfang's typically great reporting from 2018 on how the firm formed by Biden's Secretary of State Tony Blinken &amp; his…,FALSE,0,NA,2020-11-24 6:38,FALSE,NA,1.33112E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",libbyliberalnyc,582,TRUE,FALSE,NA,NA,5030,467130,"New York, USA",0
"Top story: President-Elect Joe Biden: Official Transition Website https://t.co/dxW4Z66qVD, see more https://t.co/EXUL6S9AFv",FALSE,0,NA,2020-11-24 6:38,FALSE,NA,1.33112E+18,NA,"<a href=""https://www.tweetedtimes.com"" rel=""nofollow"">The Tweeted Times</a>",patelmukesh23,0,FALSE,FALSE,NA,NA,249,20792,India,7
"RT @jeneps: George H.W. Bush was known for his socks, maybe Biden will be too? Today he wore dark blue socks adorned with lighter blue dogs…",FALSE,0,NA,2020-11-24 6:38,FALSE,NA,1.33112E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",mstepczyk,202,TRUE,FALSE,NA,NA,3095,563133,,0
RT @politico: The General Services Administration formally recognized President-elect Joe Biden as the winner of the 2020 presidential elec…,FALSE,0,NA,2020-11-24 6:38,FALSE,NA,1.33112E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",ae4ca,256,TRUE,FALSE,NA,NA,3009,369339,"Atlanta, GA",3
RT @irishrygirl: Joe Biden has a Coronavirus team. Donald Trump’s team has coronavirus. That’s the tweet,FALSE,0,NA,2020-11-24 6:38,FALSE,NA,1.33112E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",TirxieSimone,17144,TRUE,FALSE,NA,NA,1155,61709,Treaty 6 & 7 Alberta,1
RT @HillaryWarnedUs: Biden's America.,FALSE,0,NA,2020-11-24 6:38,FALSE,NA,1.33112E+18,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",barblet30,18,TRUE,FALSE,NA,NA,2204,128389,Canada,0
"G's Top story: President-Elect Joe Biden: Official Transition Website https://t.co/tD1NEzHOaQ, see more https://t.co/YBGzngaPW3",FALSE,0,NA,2020-11-24 6:38,FALSE,NA,1.33112E+18,NA,"<a href=""https://www.tweetedtimes.com"" rel=""nofollow"">The Tweeted Times</a>",gvertlieb,0,FALSE,FALSE,NA,NA,2316,17268,"Toronto, ON",7
"RT @BenjaminNorton: Biden's secretary of state nominee is now official: liberal war hawk Tony Blinken.

He:
-supported the 2011 war that de…",FALSE,0,NA,2020-11-24 6:38,FALSE,NA,1.33112E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Sfdog60,851,TRUE,FALSE,NA,NA,1903,18333,"Santa Fe, New Mexico, USA",1
"@RebeccaLisleSEO @BreitbartNews Yes, trust the plan! Losing the election to Biden was just step one of the plan! Ne… https://t.co/HbpScl1Eqq",FALSE,0,RebeccaLisleSEO,2020-11-24 6:38,TRUE,1.33109E+18,1.33112E+18,55409106,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",TheObservatory_,0,FALSE,FALSE,NA,NA,7,1413,,1
Tapper to Biden: https://t.co/jfCizwjrqs,FALSE,0,NA,2020-11-24 6:38,FALSE,NA,1.33112E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",LarsVargas,0,FALSE,FALSE,NA,NA,1139,5622,Oregonian ,0
"RT @CNBC: European markets head for higher open amid vaccine optimism, Biden transition progress https://t.co/pzaHXzI9ub",FALSE,0,NA,2020-11-24 6:38,FALSE,NA,1.33112E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",fareedaasf,8,TRUE,FALSE,NA,NA,1266,346530,"<U+0E01><U+0E23><U+0E38><U+0E07><U+0E40><U+0E17><U+0E1E><U+0E21><U+0E2B><U+0E32><U+0E19><U+0E04><U+0E23>, ",1
what is joe biden’s plan to get me a partner lol,FALSE,0,NA,2020-11-24 6:38,FALSE,NA,1.33112E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",sumrevenge,0,FALSE,FALSE,NA,NA,3120,25348,20 • they/them,3
"RT @MSNBC: ""This is already a difficult job ahead of this national security team in repairing the damage that the Trump administration has…",FALSE,0,NA,2020-11-24 6:38,FALSE,NA,1.33112E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Patti_MI_GoBlue,4,TRUE,FALSE,NA,NA,7207,16333,MetroDetroit<U+0001F30F>#ClimateCrisis ,1
RT @AliVelshi: BREAKING: GSA Administrator Emily Murphy has sent a crabby letter to Biden to begin the transition. Trump tweets: “I am reco…,FALSE,0,NA,2020-11-24 6:38,FALSE,NA,1.33112E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",hellotoyoubro,752,TRUE,FALSE,NA,NA,181,18682,,2
RT @_ashmip: gonna tell my kids this was joe biden and kamala harris https://t.co/Twe52RH5lx,FALSE,0,NA,2020-11-24 6:38,FALSE,NA,1.33112E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",kotton_ballz,3140,TRUE,FALSE,NA,NA,337,12591,time to boogie ,1
"RT @jeffzeleny: NEW: GSA has informed president-elect Joe Biden the administration is ready to begin the formal transition process, accordi…",FALSE,0,NA,2020-11-24 6:38,FALSE,NA,1.33112E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",tangledupinlust,9782,TRUE,FALSE,NA,NA,98,2519,"Emmitsburg, MD",4
"RT @JillWineBanks: GSA ascertains Joe Biden is winner of election, clears way for transition from Trump administration to formally begin ht…",FALSE,0,NA,2020-11-24 6:38,FALSE,NA,1.33112E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Sylvest41744891,51,TRUE,FALSE,NA,NA,181,3579,ibadan  Nigeria,3
